variable,meantable,proptable
ple0010_h,No,Yes
plh0012_h,No,Yes
plh0032,No,Yes
plh0033,No,Yes
plh0034,No,Yes
plh0035,No,Yes
plh0036,No,Yes
plh0037,No,Yes
plh0038,No,Yes
plh0039,No,Yes
plh0040,No,Yes
plh0042,No,Yes
plh0151,Yes,Yes
plh0182,Yes,Yes
plh0279,No,Yes
plj0046,No,Yes
plj0047,No,Yes
plj0713,No,Yes
plm0646,No,Yes
plm0647,No,Yes
plm0648,No,Yes
plm0650,No,Yes
plm0651,No,Yes
pglabgro,Yes,Yes
pglabnet,Yes,Yes
pgtatzeit,Yes,Yes
pgvebzeit,Yes,Yes
sampreg,demo,demo
pgcasmin,demo,demo
alter_gr,demo,demo
sex,demo,demo
Bildungsniveau,demo,demo
bula,demo,demo
